Id-plot,local,tratamento,total_plantulas,dossel,longitude,latitude,Elevation,Inclination,Bearing,N_Trees,N_Eedulis,pH_H2O,pH_CaCl2,SB,CTC,V,m,P,K,Ca,Mg,Al,H_Al,MO ,AT,Silte,Argila,Textura
CBO_p01o,CBO,open,88,67.39,-47.993563,-24.067067,728.286133,22,57,20,0,47,39,8,138,58,8298,54,0,5,3,39,13,947,204,332,464,arg
CBO_p01c,CBO,closed,44,72.22,-47.993587,-24.067012,730.712769,31,59,26,0,46,38,14,145,97,7308,43,0,6,8,38,131,835,124,414,462,arg
CBO_p02o,CBO,open,36,66.94,-47.992218,-24.067741,739.851257,45,36,20,3,45,37,15,143,105,7414,57,10,8,7,43,128,70,304,327,369,arg
CBO_p02c,CBO,closed,32,65.92,-47.992151,-24.067649,743.490845,42,27,21,4,41,35,2,187,107,697,105,15,13,7,46,167,1059,277,330,393,arg
CBO_p04o,CBO,open,21,64.56,-47.990493,-24.066214,826.624512,25,130,36,0,37,31,7,152,46,8704,44,9,3,4,47,145,896,481,261,258,md-arg
CBO_p04c,CBO,closed,27,67.88,-47.990394,-24.066304,823.626648,34,148,29,0,38,31,14,246,57,8133,39,55,5,8,61,232,1589,244,462,294,md-arg
CBO_p05o,CBO,open,15,77.31,-47.989345,-24.065651,772.302551,16,213,14,0,41,34,14,122,115,6889,73,0,1,4,31,108,70,247,475,278,md-arg
CBO_p05c,CBO,closed,26,72.43,-47.989469,-24.065634,771.00354,18,37,17,0,42,35,11,129,85,78,47,26,7,3,39,118,526,262,483,255,md-arg
CBO_p06o,CBO,open,54,70.09,-47.987841,-24.064103,807.0578,18,151,23,0,37,31,5,171,29,9231,35,0,3,2,6,166,1095,183,471,346,md-arg
CBO_p06c,CBO,closed,38,70.62,-47.987782,-24.064063,805.889343,11,136,20,2,36,3,7,219,32,8939,43,31,3,3,59,212,1168,219,443,338,md-arg
CBO_p09o,CBO,open,26,69.88,-47.98609,-24.071048,727.443481,3,118,20,0,43,37,9,143,63,85,59,7,5,4,51,134,761,274,393,333,md-arg
CBO_p09c,CBO,closed,44,70.62,-47.986205,-24.071008,727.91449,8,779,22,1,45,38,16,121,132,6735,79,0,11,5,33,105,681,300,365,334,md-arg
CBO_p11o,CBO,open,49,64.4,-47.985698,-24.062906,804.268616,16,149,21,1,4,33,5,152,33,8958,29,1,3,2,43,147,998,507,236,257,md-arg
CBO_p11c,CBO,closed,52,61.18,-47.985811,-24.062904,802.03241,15,122,24,3,39,33,6,136,44,8537,73,0,3,3,35,13,924,582,185,232,md-ar
CBO_p12o,CBO,open,78,71.97,-47.986058,-24.064589,746.259644,35,274,21,0,45,4,14,137,102,6818,78,0,9,5,3,123,786,255,323,422,arg
CBO_p12c,CBO,closed,49,73.2,-47.986035,-24.06442,747.127075,25,265,28,3,43,37,1,76,132,7917,43,0,6,4,38,66,427,279,435,285,md-arg
CBO_p14o,CBO,open,40,68.66,-47.983904,-24.062175,745.258972,15,275,9,3,45,38,1,8,125,7619,41,0,7,3,32,7,421,225,447,329,md-arg
CBO_p14c,CBO,closed,63,73.34,-47.984013,-24.06219,748.46936,9,277,20,4,46,38,14,134,104,5758,57,0,9,5,19,12,729,267,307,426,arg
CBO_p15o,CBO,open,34,63.57,-47.982107,-24.061303,747.095642,26,315,23,2,43,36,9,118,76,6538,69,0,6,3,17,109,661,179,474,347,md-arg
CBO_p15c,CBO,closed,44,71.24,-47.982419,-24.061552,745.314453,1,54,22,10,42,34,11,95,116,7556,69,0,8,3,34,84,591,181,470,350,arg
CAR_p01o,CAR,open,23,69.22,-47.927781,-25.094767,28.525818,1,209,25,5,45,39,2,7,286,2857,149,32,13,6,8,5,417,889,36,75,ar
CAR_p01c,CAR,closed,28,69.69,-47.927811,-25.09477,30.15032,1,266,22,2,42,38,18,68,265,3333,122,5,12,6,9,5,411,872,53,76,ar
CAR_p02o,CAR,open,52,80.54,-47.925272,-25.095338,20.689249,1,266,40,12,45,39,12,62,194,4783,164,20,6,5,11,5,398,902,23,75,ar
CAR_p02c,CAR,closed,49,80.5,-47.925504,-25.095345,22.185171,2,303,31,1,43,38,9,51,176,50,155,2,5,4,9,42,311,931,19,50,ar
CAR_p03o,CAR,open,14,79.01,-47.924067,-25.095521,11.745375,7,150,15,2,48,42,23,71,324,3235,115,19,15,8,11,48,725,532,263,206,md-ar
CAR_p03c,CAR,closed,36,76.31,-47.924126,-25.095439,17.124147,3,255,15,0,45,4,26,97,268,2778,153,5,17,9,1,71,571,527,269,204,md-ar
CAR_p04o,CAR,open,33,73.19,-47.922067,-25.095685,23.64897,12,169,21,1,44,37,14,96,146,6585,93,25,6,7,27,82,652,323,473,204,md-ar
CAR_p04c,CAR,closed,67,84.76,-47.922061,-25.095662,22.005089,15,163,29,0,4,36,11,117,94,7442,84,1,5,6,32,106,645,545,199,255,md-arg
CAR_p05o,CAR,open,49,84.01,-47.919731,-25.095462,17.537193,1,59,23,1,48,39,2,109,183,4595,53,14,8,12,17,89,847,337,430,233,md-ar
CAR_p05c,CAR,closed,60,80.03,-47.919784,-25.095556,19.485991,3,323,27,0,42,38,13,98,133,6486,98,28,5,7,24,85,591,505,292,203,md-ar
CAR_p08o,CAR,open,66,90.81,-47.930733,-25.097997,35.368107,1,222,25,2,52,47,31,111,279,606,196,10,18,13,2,8,1075,509,191,300,md-arg
CAR_p08c,CAR,closed,109,90.78,-47.930572,-25.098024,33.433784,1,225,24,2,48,42,21,95,221,3226,103,4,12,9,1,74,578,559,160,281,md-arg
CAR_p09o,CAR,open,43,61.89,-47.932214,-25.10392,88.153687,20,239,20,1,51,44,27,103,262,2059,166,3,14,13,7,76,838,622,146,232,md-ar
CAR_p09c,CAR,closed,62,67.76,-47.93221,-25.104023,88.235954,23,218,29,19,51,45,38,106,358,1364,111,1,29,9,6,68,754,448,215,337,md-arg
CAR_p10o,CAR,open,35,72.6,-47.932726,-25.106342,128.655914,10,240,27,5,46,4,15,99,152,5161,13,0,7,8,16,84,732,562,128,310,md-arg
CAR_p10c,CAR,closed,91,72.61,-47.932759,-25.10636,128.560699,17,240,34,10,4,38,22,13,169,5319,136,1,1,12,25,108,928,446,215,339,md-arg
CAR_p11o,CAR,open,35,60.51,-47.933368,-25.108163,147.939743,19,277,23,2,49,44,39,141,277,22,204,12,28,11,11,102,1419,508,241,251,md-arg
CAR_p11c,CAR,closed,76,60.47,-47.9333,-25.108234,146.384399,22,253,25,3,46,4,24,112,214,4286,84,1,16,8,18,88,905,447,243,310,md-arg
CAR_p12o,CAR,open,35,66.59,-47.931812,-25.107849,136.644623,21,112,21,2,5,45,4,121,331,909,183,3,28,12,4,81,995,557,154,289,md-arg
CAR_p12c,CAR,closed,37,63.35,-47.931814,-25.10781,136.438248,25,80,27,6,48,43,37,133,278,1778,118,0,24,13,8,96,819,546,170,285,md-arg
CAR_p14o,CAR,open,24,67.37,-47.928964,-25.106099,187.9832,30,148,29,2,47,39,34,148,23,2273,18,0,24,1,1,114,1441,476,178,346,md-arg
CAR_p14c,CAR,closed,44,66.33,-47.929058,-25.106113,184.362885,32,109,28,5,44,38,29,132,22,383,81,0,15,14,18,103,812,370,267,362,arg
CAR_p15o,CAR,open,10,70.61,-47.926908,-25.10724,192.005157,8,32,24,1,42,36,19,153,124,5366,16,0,13,6,22,134,1162,434,230,336,md-arg
CAR_p15c,CAR,closed,50,70.02,-47.926935,-25.107237,190.944687,25,102,27,3,42,38,32,14,229,3962,152,83,18,12,21,108,921,342,297,361,arg
ITA_p01o,ITA,open,29,84.55,-45.094332,-23.323956,998.777344,NA,NA,25,5,46,38,1,94,106,60,111,30,6,3,15,84,575,711,17,272,md-arg
ITA_p01c,ITA,closed,41,71.38,-45.094219,-23.323956,999.301819,NA,NA,17,2,44,39,7,94,74,7083,112,36,4,2,17,87,408,661,27,312,md-arg
ITA_p02o,ITA,open,38,84.68,-45.09526,-23.322808,990.020813,NA,NA,22,2,43,38,7,121,58,80,12,12,4,3,28,114,652,668,15,316,md-arg
ITA_p02c,ITA,closed,44,84.07,-45.095288,-23.322842,990.743896,NA,NA,27,8,41,37,8,114,7,7714,114,25,4,3,27,106,584,638,97,265,md-arg
ITA_p04o,ITA,open,19,60.68,-45.0852,-23.321763,988.862732,NA,NA,32,8,45,39,9,91,99,8364,171,25,5,3,46,82,61,755,30,215,md-ar
ITA_p04c,ITA,closed,38,85.72,-45.085317,-23.321675,986.783142,NA,NA,30,4,47,4,13,93,14,4583,186,7,9,4,11,8,536,827,20,154,md-ar
ITA_p06o,ITA,open,25,79.38,-45.087303,-23.317256,1010.29,NA,NA,28,11,47,4,13,114,114,5357,148,13,1,3,15,101,896,695,72,234,md-ar
ITA_p06c,ITA,closed,58,71.67,-45.087253,-23.317317,1010.29,NA,NA,30,7,47,41,27,144,188,3571,143,7,18,9,15,117,896,689,76,235,md-ar
ITA_p08o,ITA,open,38,64.04,-45.083032,-23.318733,1024.32,NA,NA,40,4,46,39,6,116,52,8065,133,6,3,3,25,11,767,623,55,322,md-arg
ITA_p08c,ITA,closed,49,71.9,-45.082997,-23.318646,1027.61,NA,NA,34,12,45,39,8,108,74,7333,69,13,4,4,22,10,623,596,87,317,md-arg
ITA_p10o,ITA,open,6,76.58,-45.082388,-23.314296,1068.85,NA,NA,31,7,51,41,18,14,129,4194,217,2,13,5,13,122,1124,666,98,235,md-ar
ITA_p10c,ITA,closed,34,86.46,-45.082248,-23.314323,1069.82,NA,NA,28,5,47,39,18,144,125,6087,159,14,13,5,28,126,87,687,79,234,md-ar
ITA_p12o,ITA,open,12,89.59,-45.079412,-23.311287,1088.23,NA,NA,38,9,48,39,7,95,74,7879,84,0,4,3,26,88,568,646,43,311,md-arg
ITA_p12c,ITA,closed,22,89.68,-45.079413,-23.311364,1088.24,NA,NA,30,7,43,36,7,145,48,8158,111,13,4,3,31,138,706,660,30,310,md-arg
ITA_p14o,ITA,open,14,82.52,-45.074988,-23.310486,1066.75,NA,NA,26,3,46,42,33,119,277,2667,103,7,25,8,12,86,847,608,101,291,md-arg
ITA_p14c,ITA,closed,38,91.65,-45.074968,-23.310471,1065.73,NA,NA,23,2,46,41,33,126,262,2979,128,0,24,9,14,93,754,703,22,275,md-arg
ITA_p15o,ITA,open,18,62.19,-45.072431,-23.310436,1078.85,NA,NA,18,3,47,4,9,87,103,6786,133,1,4,5,19,78,565,591,137,272,md-arg
ITA_p15c,ITA,closed,38,82.6,-45.072363,-23.310361,1080.55,NA,NA,17,0,46,4,19,91,209,4571,109,1,8,11,16,72,536,650,79,271,md-arg
VGM_p01o,VGM,open,12,63.82,-45.239825,-23.443689,807.727356,NA,NA,27,2,41,35,5,103,49,8387,54,17,2,3,26,98,488,641,105,254,md-arg
VGM_p01c,VGM,closed,15,68.03,-45.239552,-23.443716,806.329163,NA,NA,25,3,43,37,9,129,7,7097,133,32,5,3,22,12,645,653,41,306,md-arg
VGM_p04o,VGM,open,62,69.14,-45.233723,-23.43636,761.651245,NA,NA,28,0,48,4,8,84,95,68,84,1,4,4,17,76,549,606,165,229,md-ar
VGM_p04c,VGM,closed,78,67.44,-45.233621,-23.436282,759.187561,NA,NA,30,1,48,41,13,113,115,5667,148,48,5,7,17,10,674,557,132,312,md-arg
VGM_p05o,VGM,open,32,71.65,-45.229778,-23.43515,777.09613,NA,NA,33,4,43,41,7,97,72,8056,47,5,2,5,29,9,597,560,155,285,md-arg
VGM_p05c,VGM,closed,87,70.25,-45.229664,-23.434967,773.427124,NA,NA,40,9,49,39,1,12,83,697,47,0,3,7,23,11,706,562,105,333,md-arg
VGM_p06o,VGM,open,59,78.2,-45.226462,-23.434212,777.639526,NA,NA,24,7,45,39,8,75,107,68,59,4,2,6,17,67,549,640,80,280,md-arg
VGM_p06c,VGM,closed,54,76.3,-45.226397,-23.434284,778.063171,NA,NA,41,13,45,4,6,74,81,7143,84,13,2,4,15,68,51,610,136,254,md-arg
VGM_p07o,VGM,open,33,69.23,-45.223578,-23.434383,787.052307,NA,NA,23,12,42,36,1,143,7,7436,66,0,3,7,29,133,658,626,117,257,md-arg
VGM_p07c,VGM,closed,51,74.26,-45.223619,-23.434314,786.743164,NA,NA,22,7,45,37,9,138,65,7429,67,24,3,5,26,129,1018,739,57,204,md-ar
VGM_p08o,VGM,open,33,69.17,-45.22087,-23.434813,796.220947,NA,NA,16,1,41,35,4,56,71,8095,33,2,2,2,17,52,433,794,30,176,md-ar
VGM_p08c,VGM,closed,68,69.29,-45.220824,-23.43486,797.138916,NA,NA,23,1,4,36,6,85,71,7857,52,33,2,3,22,79,501,688,82,230,md-ar
VGM_p09o,VGM,open,67,72.41,-45.218075,-23.434033,799.570557,NA,NA,32,13,43,38,7,94,74,7742,72,20,2,4,24,87,562,729,68,203,md-ar
VGM_p09c,VGM,closed,102,66.78,-45.218086,-23.43404,800.055054,NA,NA,29,11,42,38,3,53,57,8421,77,24,1,1,16,5,331,883,17,100,ar
VGM_p10o,VGM,open,21,72.64,-45.216856,-23.434663,796.001404,NA,NA,47,4,44,38,9,8,113,6786,109,11,4,5,19,71,443,801,48,151,md-ar
VGM_p10c,VGM,closed,54,73.16,-45.216782,-23.434563,793.089966,NA,NA,50,12,45,39,7,69,101,6316,144,17,4,3,12,62,356,842,32,125,ar
VGM_p11o,VGM,open,45,68.91,-45.214577,-23.435393,802.296753,NA,NA,34,6,43,36,6,109,55,80,177,8,3,3,24,103,645,741,107,152,md-ar
VGM_p11c,VGM,closed,70,64.96,-45.21459,-23.435386,798.654907,NA,NA,31,6,47,38,4,79,51,8261,103,15,2,2,19,75,51,786,63,152,md-ar
VGM_p12o,VGM,open,37,72.53,-45.212231,-23.43479,794.839539,NA,NA,30,10,43,39,7,12,58,80,192,1,4,3,28,113,632,433,254,314,md-arg
VGM_p12c,VGM,closed,52,66.27,-45.212228,-23.434807,793.065918,NA,NA,34,17,43,39,7,103,68,7813,164,1,4,3,25,96,597,529,211,260,md-arg
VGM_p14o,VGM,open,20,71.64,-45.209051,-23.432274,796.607544,NA,NA,41,10,45,39,1,122,82,697,177,5,6,4,23,112,706,516,224,260,md-arg
VGM_p14c,VGM,closed,31,64.85,-45.209074,-23.43222,796.303101,NA,NA,42,10,45,39,9,111,81,7188,178,19,5,4,23,102,668,547,167,285,md-arg
VGM_p15o,VGM,open,23,67.45,-45.207126,-23.431526,794.60376,NA,NA,27,6,46,38,1,123,81,7059,162,0,4,6,24,113,722,659,60,281,md-arg
VGM_p15c,VGM,closed,48,67.61,-45.207126,-23.431558,794.068726,NA,NA,34,17,44,37,1,118,85,7222,13,21,4,5,26,108,713,495,220,286,md-arg
